id,order_id,invoice_number,issued_at,due_at,paid_at,total_amount,status
900057,1113,INV-00900057,2023-01-05 12:59:09,2023-02-04 12:59:09,2023-01-26 12:59:09,2649.41,paid
900058,1368,INV-00900058,2023-03-23 13:06:00,2023-04-22 13:06:00,,4695.26,issued
900059,276,INV-00900059,2023-08-18 19:47:51,2023-09-17 19:47:51,,1369.02,issued
900060,1239,INV-00900060,2023-09-15 11:30:58,2023-10-15 11:30:58,2023-10-06 11:30:58,4266.03,paid
900061,1036,INV-00900061,2023-04-25 14:51:26,2023-05-25 14:51:26,,470.57,issued
900062,868,INV-00900062,2023-08-12 22:23:42,2023-09-11 22:23:42,2023-09-06 22:23:42,662.79,paid
900063,537,INV-00900063,2023-10-10 07:54:48,2023-11-09 07:54:48,2023-10-24 07:54:48,2808.93,paid
900064,230,INV-00900064,2023-11-23 18:34:24,2023-12-23 18:34:24,2023-12-05 18:34:24,2916.72,paid
900065,304,INV-00900065,2023-05-25 19:21:36,2023-06-24 19:21:36,2023-06-06 19:21:36,4495.92,paid
900066,1631,INV-00900066,2023-12-11 10:58:22,2024-01-10 10:58:22,2023-12-19 10:58:22,3338.0,paid
900067,725,INV-00900067,2023-03-20 09:12:16,2023-04-19 09:12:16,,4629.56,issued
900068,485,INV-00900068,2023-10-09 17:33:14,2023-11-08 17:33:14,,905.01,issued
900069,1894,INV-00900069,2023-07-14 09:00:36,2023-08-13 09:00:36,,1341.36,issued
900070,1613,INV-00900070,2023-01-06 20:03:52,2023-02-05 20:03:52,2023-01-08 20:03:52,4294.38,paid
900071,456,INV-00900071,2023-09-20 07:14:28,2023-10-20 07:14:28,2023-09-28 07:14:28,1122.39,paid
900072,1352,INV-00900072,2023-09-24 09:29:33,2023-10-24 09:29:33,2023-09-27 09:29:33,4834.78,paid
900073,572,INV-00900073,2023-07-05 00:38:40,2023-08-04 00:38:40,2023-07-27 00:38:40,4905.94,paid
900074,1099,INV-00900074,2023-07-15 22:59:43,2023-08-14 22:59:43,2023-07-24 22:59:43,901.05,paid
900075,1972,INV-00900075,2023-08-18 22:36:26,2023-09-17 22:36:26,2023-09-01 22:36:26,1734.98,paid
900076,1611,INV-00900076,2023-07-24 08:06:41,2023-08-23 08:06:41,2023-08-10 08:06:41,587.07,paid
900077,1843,INV-00900077,2023-03-11 17:04:46,2023-04-10 17:04:46,2023-04-03 17:04:46,2185.93,paid
900078,1065,INV-00900078,2023-03-31 16:49:35,2023-04-30 16:49:35,2023-04-03 16:49:35,4744.88,paid
900079,1886,INV-00900079,2023-07-15 01:18:42,2023-08-14 01:18:42,2023-07-19 01:18:42,3601.57,paid
900080,616,INV-00900080,2023-04-16 12:44:22,2023-05-16 12:44:22,2023-04-27 12:44:22,2017.98,paid
900081,606,INV-00900081,2023-03-23 19:21:57,2023-04-22 19:21:57,2023-04-14 19:21:57,4702.41,paid
900082,1388,INV-00900082,2023-10-03 01:35:24,2023-11-02 01:35:24,2023-10-16 01:35:24,2744.21,paid
900083,1,INV-00900083,2023-07-29 13:33:14,2023-08-28 13:33:14,2023-08-17 13:33:14,3037.24,paid
900084,660,INV-00900084,2023-05-07 07:54:55,2023-06-06 07:54:55,2023-05-14 07:54:55,2560.76,paid
900085,1626,INV-00900085,2023-10-06 00:00:44,2023-11-05 00:00:44,2023-10-23 00:00:44,3322.63,paid
900086,1269,INV-00900086,2023-07-13 20:36:00,2023-08-12 20:36:00,,3367.25,issued
900087,461,INV-00900087,2023-09-21 18:38:07,2023-10-21 18:38:07,2023-09-29 18:38:07,4919.84,paid
900088,1252,INV-00900088,2023-11-24 07:25:08,2023-12-24 07:25:08,2023-12-15 07:25:08,2882.6,paid
900089,1472,INV-00900089,2023-01-09 10:01:12,2023-02-08 10:01:12,2023-01-17 10:01:12,746.38,paid
900090,1409,INV-00900090,2023-12-29 20:07:10,2024-01-28 20:07:10,,887.67,issued
900091,1962,INV-00900091,2023-01-09 05:08:31,2023-02-08 05:08:31,2023-01-27 05:08:31,1253.5,paid
900092,1738,INV-00900092,2023-10-30 07:22:51,2023-11-29 07:22:51,2023-11-14 07:22:51,3341.21,paid
900093,1145,INV-00900093,2023-03-02 12:26:52,2023-04-01 12:26:52,,3067.14,overdue
900094,1474,INV-00900094,2023-04-17 08:27:47,2023-05-17 08:27:47,,4487.07,overdue
900095,1524,INV-00900095,2023-05-02 07:36:49,2023-06-01 07:36:49,2023-05-10 07:36:49,4200.92,paid
900096,568,INV-00900096,2023-04-09 06:21:23,2023-05-09 06:21:23,2023-04-18 06:21:23,2204.96,paid
900097,1462,INV-00900097,2023-08-07 15:27:45,2023-09-06 15:27:45,2023-08-18 15:27:45,4466.2,paid
900098,166,INV-00900098,2023-10-22 18:30:31,2023-11-21 18:30:31,2023-11-14 18:30:31,772.5,paid
900099,439,INV-00900099,2023-11-29 08:53:43,2023-12-29 08:53:43,2023-12-17 08:53:43,2334.96,paid
900100,128,INV-00900100,2023-09-17 08:42:11,2023-10-17 08:42:11,2023-10-12 08:42:11,2924.56,paid
900101,1425,INV-00900101,2023-12-21 03:02:24,2024-01-20 03:02:24,2023-12-22 03:02:24,4714.28,paid
900102,612,INV-00900102,2023-06-15 08:44:39,2023-07-15 08:44:39,2023-07-09 08:44:39,2735.2,paid
900103,1236,INV-00900103,2023-09-10 06:13:27,2023-10-10 06:13:27,2023-09-24 06:13:27,2433.35,paid
900104,797,INV-00900104,2023-07-12 09:16:46,2023-08-11 09:16:46,2023-07-27 09:16:46,4598.51,paid
900105,1275,INV-00900105,2023-04-02 23:01:06,2023-05-02 23:01:06,,428.9,issued
900106,878,INV-00900106,2023-10-23 07:11:25,2023-11-22 07:11:25,2023-11-01 07:11:25,1901.73,paid
900107,434,INV-00900107,2023-05-13 12:06:00,2023-06-12 12:06:00,2023-05-26 12:06:00,1398.5,paid
900108,1949,INV-00900108,2023-05-30 14:48:55,2023-06-29 14:48:55,,106.72,overdue
900109,1105,INV-00900109,2023-12-05 11:15:30,2024-01-04 11:15:30,2023-12-08 11:15:30,3908.35,paid
900110,1335,INV-00900110,2023-12-11 22:52:13,2024-01-10 22:52:13,,4197.75,issued
900111,1273,INV-00900111,2023-10-14 15:18:54,2023-11-13 15:18:54,2023-11-05 15:18:54,580.8,paid
900112,1942,INV-00900112,2023-09-11 07:04:08,2023-10-11 07:04:08,2023-10-06 07:04:08,1850.79,paid
900113,1241,INV-00900113,2023-02-24 19:49:48,2023-03-26 19:49:48,,4823.96,issued
900114,222,INV-00900114,2023-03-10 23:03:55,2023-04-09 23:03:55,,1989.31,overdue
900115,1465,INV-00900115,2023-09-21 21:13:59,2023-10-21 21:13:59,2023-10-12 21:13:59,1221.82,paid
900116,1428,INV-00900116,2023-07-30 02:08:23,2023-08-29 02:08:23,,1742.55,issued
900117,878,INV-00900117,2023-01-27 10:30:29,2023-02-26 10:30:29,2023-02-17 10:30:29,1712.74,paid
900118,1740,INV-00900118,2023-05-30 06:09:09,2023-06-29 06:09:09,2023-06-11 06:09:09,3181.57,paid
900119,1698,INV-00900119,2023-05-10 18:25:48,2023-06-09 18:25:48,2023-06-03 18:25:48,2613.52,paid
900120,1333,INV-00900120,2023-08-15 01:34:32,2023-09-14 01:34:32,,2329.72,overdue
900121,1692,INV-00900121,2023-03-03 14:13:41,2023-04-02 14:13:41,2023-03-11 14:13:41,4155.35,paid
900122,178,INV-00900122,2023-08-11 07:35:13,2023-09-10 07:35:13,2023-08-26 07:35:13,2853.55,paid
900123,1369,INV-00900123,2023-06-20 11:45:08,2023-07-20 11:45:08,2023-07-01 11:45:08,917.38,paid
900124,435,INV-00900124,2023-07-03 14:35:38,2023-08-02 14:35:38,2023-07-23 14:35:38,3508.91,paid
900125,566,INV-00900125,2023-03-22 23:37:50,2023-04-21 23:37:50,2023-03-29 23:37:50,437.21,paid
900126,1475,INV-00900126,2023-06-06 06:12:42,2023-07-06 06:12:42,2023-06-14 06:12:42,3456.14,paid
900127,1323,INV-00900127,2023-01-01 06:07:48,2023-01-31 06:07:48,2023-01-02 06:07:48,474.34,paid
900128,454,INV-00900128,2023-06-07 15:08:30,2023-07-07 15:08:30,2023-06-26 15:08:30,1851.41,paid
900129,1134,INV-00900129,2023-04-04 11:29:04,2023-05-04 11:29:04,2023-04-28 11:29:04,2756.44,paid
900130,721,INV-00900130,2023-01-06 07:28:47,2023-02-05 07:28:47,2023-01-15 07:28:47,1160.38,paid
900131,1478,INV-00900131,2023-09-24 12:30:41,2023-10-24 12:30:41,2023-10-12 12:30:41,4754.88,paid
900132,1414,INV-00900132,2023-09-28 17:01:35,2023-10-28 17:01:35,2023-10-14 17:01:35,1389.73,paid
900133,1208,INV-00900133,2023-04-07 02:16:18,2023-05-07 02:16:18,2023-04-11 02:16:18,4164.82,paid
900134,607,INV-00900134,2023-09-06 10:51:39,2023-10-06 10:51:39,2023-09-07 10:51:39,3543.01,paid
900135,260,INV-00900135,2023-08-13 22:20:35,2023-09-12 22:20:35,,3490.11,overdue
900136,259,INV-00900136,2023-02-08 06:07:40,2023-03-10 06:07:40,2023-02-09 06:07:40,2874.58,paid
900137,962,INV-00900137,2023-04-30 07:57:47,2023-05-30 07:57:47,2023-05-02 07:57:47,1269.87,paid
900138,1765,INV-00900138,2023-05-01 19:50:47,2023-05-31 19:50:47,,2463.82,overdue
900139,1182,INV-00900139,2023-02-12 22:02:54,2023-03-14 22:02:54,2023-03-03 22:02:54,4746.14,paid
900140,175,INV-00900140,2023-08-26 19:41:15,2023-09-25 19:41:15,2023-09-09 19:41:15,3035.53,paid
900141,1620,INV-00900141,2023-02-18 15:46:59,2023-03-20 15:46:59,,2258.07,overdue
900142,907,INV-00900142,2023-08-01 02:34:21,2023-08-31 02:34:21,,2847.46,overdue
900143,124,INV-00900143,2023-02-22 20:23:14,2023-03-24 20:23:14,,3131.32,issued
900144,542,INV-00900144,2023-01-27 21:02:39,2023-02-26 21:02:39,2023-02-02 21:02:39,2764.44,paid
900145,321,INV-00900145,2023-12-30 09:07:35,2024-01-29 09:07:35,2024-01-19 09:07:35,2354.86,paid
900146,67,INV-00900146,2023-09-04 13:30:38,2023-10-04 13:30:38,2023-09-27 13:30:38,4299.44,paid
900147,146,INV-00900147,2023-01-14 15:30:05,2023-02-13 15:30:05,,2131.44,issued
900148,1116,INV-00900148,2023-09-07 00:25:14,2023-10-07 00:25:14,2023-09-16 00:25:14,4134.89,paid
900149,147,INV-00900149,2023-12-01 17:57:33,2023-12-31 17:57:33,,2201.38,overdue
900150,960,INV-00900150,2023-01-13 12:55:43,2023-02-12 12:55:43,2023-01-22 12:55:43,2507.36,paid
900151,1012,INV-00900151,2023-05-21 21:04:17,2023-06-20 21:04:17,2023-06-04 21:04:17,3675.32,paid
900152,1237,INV-00900152,2023-08-25 23:03:30,2023-09-24 23:03:30,2023-09-16 23:03:30,4181.43,paid
900153,1179,INV-00900153,2023-03-06 23:14:41,2023-04-05 23:14:41,,2885.47,overdue
900154,1563,INV-00900154,2023-10-03 06:52:11,2023-11-02 06:52:11,2023-10-18 06:52:11,4581.2,paid
900155,372,INV-00900155,2023-03-07 08:07:48,2023-04-06 08:07:48,2023-03-23 08:07:48,4845.59,paid
900156,963,INV-00900156,2023-07-06 09:07:57,2023-08-05 09:07:57,2023-07-28 09:07:57,531.95,paid
900157,330,INV-00900157,2023-07-16 09:00:45,2023-08-15 09:00:45,2023-07-26 09:00:45,3316.29,paid
900158,821,INV-00900158,2023-03-25 22:39:51,2023-04-24 22:39:51,2023-04-05 22:39:51,1269.47,paid
900159,238,INV-00900159,2023-06-08 05:15:51,2023-07-08 05:15:51,,3291.73,issued
900160,1112,INV-00900160,2023-05-09 08:57:15,2023-06-08 08:57:15,2023-05-26 08:57:15,1815.28,paid
900161,1550,INV-00900161,2023-04-20 01:13:47,2023-05-20 01:13:47,2023-04-22 01:13:47,1025.76,paid
900162,1125,INV-00900162,2023-10-25 13:30:48,2023-11-24 13:30:48,2023-11-17 13:30:48,2428.71,paid
900163,60,INV-00900163,2023-02-12 01:49:54,2023-03-14 01:49:54,,1560.64,issued
900164,29,INV-00900164,2023-03-24 09:08:44,2023-04-23 09:08:44,2023-03-28 09:08:44,2312.62,paid
900165,241,INV-00900165,2023-02-03 18:23:39,2023-03-05 18:23:39,2023-02-26 18:23:39,1466.39,paid
900166,1445,INV-00900166,2023-08-14 08:52:21,2023-09-13 08:52:21,,1226.22,overdue
900167,1129,INV-00900167,2023-10-18 10:02:03,2023-11-17 10:02:03,2023-11-07 10:02:03,2546.12,paid
900168,1801,INV-00900168,2023-10-23 21:27:30,2023-11-22 21:27:30,2023-11-06 21:27:30,1705.98,paid
900169,1614,INV-00900169,2023-04-16 14:16:22,2023-05-16 14:16:22,,3632.99,overdue
900170,1716,INV-00900170,2023-03-06 02:53:09,2023-04-05 02:53:09,,4327.65,overdue
900171,915,INV-00900171,2023-03-31 06:21:57,2023-04-30 06:21:57,2023-04-18 06:21:57,3816.73,paid
900172,773,INV-00900172,2023-05-12 12:17:04,2023-06-11 12:17:04,,2863.27,issued
900173,479,INV-00900173,2023-06-04 22:24:40,2023-07-04 22:24:40,2023-06-20 22:24:40,3529.09,paid
900174,1662,INV-00900174,2023-06-19 09:56:36,2023-07-19 09:56:36,,2481.69,issued
900175,76,INV-00900175,2023-10-28 05:42:44,2023-11-27 05:42:44,,4349.8,overdue
900176,1791,INV-00900176,2023-05-20 20:22:11,2023-06-19 20:22:11,2023-06-04 20:22:11,86.58,paid
900177,296,INV-00900177,2023-06-05 00:09:37,2023-07-05 00:09:37,,2352.76,issued
900178,1985,INV-00900178,2023-08-18 11:40:25,2023-09-17 11:40:25,2023-08-31 11:40:25,3252.68,paid
900179,1745,INV-00900179,2023-07-16 04:34:18,2023-08-15 04:34:18,2023-07-27 04:34:18,3137.73,paid
900180,1818,INV-00900180,2023-04-26 04:18:08,2023-05-26 04:18:08,2023-04-29 04:18:08,1181.5,paid
900181,1402,INV-00900181,2023-08-06 15:43:03,2023-09-05 15:43:03,2023-08-20 15:43:03,4891.91,paid
900182,1558,INV-00900182,2023-02-10 20:20:27,2023-03-12 20:20:27,2023-03-05 20:20:27,1504.34,paid
900183,60,INV-00900183,2023-12-08 12:11:24,2024-01-07 12:11:24,,1798.73,overdue
900184,883,INV-00900184,2023-10-18 15:06:33,2023-11-17 15:06:33,2023-11-06 15:06:33,3412.18,paid
900185,369,INV-00900185,2023-10-05 17:37:34,2023-11-04 17:37:34,2023-10-18 17:37:34,3102.35,paid
900186,494,INV-00900186,2023-04-21 02:46:05,2023-05-21 02:46:05,2023-05-06 02:46:05,3193.14,paid
900187,942,INV-00900187,2023-08-23 23:39:29,2023-09-22 23:39:29,,4507.04,overdue
900188,1388,INV-00900188,2023-03-27 18:14:54,2023-04-26 18:14:54,2023-04-08 18:14:54,4938.38,paid
900189,613,INV-00900189,2023-02-07 08:33:05,2023-03-09 08:33:05,2023-02-22 08:33:05,4228.07,paid
900190,408,INV-00900190,2023-06-18 06:24:25,2023-07-18 06:24:25,2023-07-01 06:24:25,2863.89,paid
900191,1178,INV-00900191,2023-08-02 13:15:04,2023-09-01 13:15:04,2023-08-24 13:15:04,1985.07,paid
900192,17,INV-00900192,2023-03-17 22:12:52,2023-04-16 22:12:52,,4165.87,overdue
900193,1850,INV-00900193,2023-08-07 15:37:18,2023-09-06 15:37:18,2023-08-19 15:37:18,1102.83,paid
900194,390,INV-00900194,2023-02-17 14:52:30,2023-03-19 14:52:30,2023-03-13 14:52:30,3839.68,paid
900195,1395,INV-00900195,2023-10-22 01:07:35,2023-11-21 01:07:35,2023-11-12 01:07:35,3235.24,paid
900196,633,INV-00900196,2023-05-20 22:47:07,2023-06-19 22:47:07,2023-06-13 22:47:07,665.74,paid
900197,1863,INV-00900197,2023-08-02 12:06:17,2023-09-01 12:06:17,2023-08-08 12:06:17,1011.97,paid
900198,1611,INV-00900198,2023-03-30 10:40:47,2023-04-29 10:40:47,2023-04-08 10:40:47,4154.06,paid
900199,527,INV-00900199,2023-04-29 13:15:16,2023-05-29 13:15:16,2023-05-10 13:15:16,4023.12,paid
900200,960,INV-00900200,2023-11-23 18:52:31,2023-12-23 18:52:31,,4302.1,issued
900201,1484,INV-00900201,2023-01-20 09:31:51,2023-02-19 09:31:51,,460.61,overdue
900202,809,INV-00900202,2023-12-24 14:22:17,2024-01-23 14:22:17,2024-01-08 14:22:17,1849.24,paid
900203,1534,INV-00900203,2023-01-21 14:27:18,2023-02-20 14:27:18,2023-02-11 14:27:18,4702.06,paid
900204,222,INV-00900204,2023-01-20 15:29:13,2023-02-19 15:29:13,2023-02-09 15:29:13,4422.33,paid
900205,1150,INV-00900205,2023-07-17 01:47:16,2023-08-16 01:47:16,2023-07-20 01:47:16,3180.67,paid
900206,951,INV-00900206,2023-01-07 12:59:52,2023-02-06 12:59:52,2023-01-11 12:59:52,707.49,paid
900207,1938,INV-00900207,2023-12-12 12:55:07,2024-01-11 12:55:07,,494.99,issued
900208,1818,INV-00900208,2023-03-31 19:03:39,2023-04-30 19:03:39,2023-04-12 19:03:39,3355.73,paid
900209,1522,INV-00900209,2023-01-09 04:19:56,2023-02-08 04:19:56,2023-02-02 04:19:56,3635.73,paid
900210,1814,INV-00900210,2023-06-02 00:09:19,2023-07-02 00:09:19,2023-06-18 00:09:19,3082.1,paid
900211,1924,INV-00900211,2023-08-10 22:48:32,2023-09-09 22:48:32,2023-08-17 22:48:32,2222.48,paid
900212,1947,INV-00900212,2023-09-02 10:47:43,2023-10-02 10:47:43,2023-09-24 10:47:43,1843.0,paid
900213,1847,INV-00900213,2023-02-04 10:56:28,2023-03-06 10:56:28,2023-02-13 10:56:28,957.14,paid
900214,251,INV-00900214,2023-05-13 20:39:45,2023-06-12 20:39:45,2023-06-03 20:39:45,3201.07,paid
900215,1989,INV-00900215,2023-12-21 22:09:31,2024-01-20 22:09:31,,4944.22,issued
900216,1612,INV-00900216,2023-03-17 16:31:44,2023-04-16 16:31:44,2023-04-11 16:31:44,2775.5,paid
900217,1201,INV-00900217,2023-09-12 15:31:01,2023-10-12 15:31:01,2023-09-17 15:31:01,3945.33,paid
900218,1221,INV-00900218,2023-12-30 13:54:18,2024-01-29 13:54:18,,4937.76,issued
900219,1107,INV-00900219,2023-08-25 17:38:49,2023-09-24 17:38:49,2023-08-26 17:38:49,667.7,paid
900220,734,INV-00900220,2023-09-01 02:33:38,2023-10-01 02:33:38,2023-09-07 02:33:38,1334.18,paid
900221,260,INV-00900221,2023-05-30 04:50:45,2023-06-29 04:50:45,2023-06-02 04:50:45,2386.47,paid
900222,1594,INV-00900222,2023-06-29 05:18:49,2023-07-29 05:18:49,2023-07-14 05:18:49,2524.16,paid
900223,1937,INV-00900223,2023-02-20 22:25:17,2023-03-22 22:25:17,2023-03-14 22:25:17,2612.04,paid
900224,939,INV-00900224,2023-02-05 22:51:58,2023-03-07 22:51:58,2023-02-21 22:51:58,4238.02,paid
900225,874,INV-00900225,2023-01-14 20:04:10,2023-02-13 20:04:10,2023-01-29 20:04:10,376.72,paid
900226,166,INV-00900226,2023-07-20 01:51:10,2023-08-19 01:51:10,2023-07-25 01:51:10,1382.33,paid
900227,1297,INV-00900227,2023-03-07 04:02:06,2023-04-06 04:02:06,2023-03-20 04:02:06,4973.19,paid
900228,1087,INV-00900228,2023-08-03 07:28:51,2023-09-02 07:28:51,2023-08-17 07:28:51,504.9,paid
900229,1438,INV-00900229,2023-11-03 00:09:46,2023-12-03 00:09:46,2023-11-28 00:09:46,2761.16,paid
900230,1773,INV-00900230,2023-09-12 08:20:30,2023-10-12 08:20:30,2023-09-20 08:20:30,2074.93,paid
900231,1695,INV-00900231,2023-05-13 09:28:58,2023-06-12 09:28:58,2023-05-17 09:28:58,1569.62,paid
900232,641,INV-00900232,2023-01-25 14:43:12,2023-02-24 14:43:12,2023-01-30 14:43:12,3437.24,paid
900233,972,INV-00900233,2023-11-27 20:40:43,2023-12-27 20:40:43,,2165.06,issued
900234,1525,INV-00900234,2023-06-24 19:15:46,2023-07-24 19:15:46,2023-07-13 19:15:46,4783.56,paid
900235,1151,INV-00900235,2023-07-16 19:32:59,2023-08-15 19:32:59,2023-08-07 19:32:59,4706.24,paid
900236,867,INV-00900236,2023-12-05 13:31:40,2024-01-04 13:31:40,2023-12-17 13:31:40,526.97,paid
900237,1040,INV-00900237,2023-09-14 18:22:00,2023-10-14 18:22:00,2023-09-22 18:22:00,4237.9,paid
900238,718,INV-00900238,2023-03-22 10:37:04,2023-04-21 10:37:04,2023-03-31 10:37:04,2874.76,paid
900239,1654,INV-00900239,2023-05-26 03:34:34,2023-06-25 03:34:34,,3048.88,issued
900240,1348,INV-00900240,2023-01-10 14:15:46,2023-02-09 14:15:46,2023-01-19 14:15:46,3516.47,paid
900241,633,INV-00900241,2023-07-11 11:13:11,2023-08-10 11:13:11,2023-07-16 11:13:11,2835.94,paid
900242,821,INV-00900242,2023-11-26 18:50:05,2023-12-26 18:50:05,2023-11-27 18:50:05,467.87,paid
900243,1087,INV-00900243,2023-09-12 10:18:12,2023-10-12 10:18:12,2023-09-23 10:18:12,795.47,paid
900244,639,INV-00900244,2023-07-18 03:20:05,2023-08-17 03:20:05,2023-07-20 03:20:05,786.34,paid
900245,1546,INV-00900245,2023-02-18 22:11:18,2023-03-20 22:11:18,2023-02-27 22:11:18,2221.13,paid
